tv_sk,tv_id,tv_valor,tv_valor_cliente,tv_comissao,tv_comissao_cliente,tv_tipo_cliente,tv_total_compradores,tv_total_vendedores,cor_sk,im_sk,cl_sk,dt_sk
37,27,462792.59,462792.59,27767.56,27767.56,COMPRADOR,1,1,5,23,28,20250830
38,28,1185790.1,592895.05,35573.705,71147.41,COMPRADOR,2,1,6,14,15,20250830
39,28,1185790.1,592895.05,35573.705,71147.41,COMPRADOR,2,1,6,14,16,20250830
40,29,293062.56,293062.56,17583.75,17583.75,COMPRADOR,1,1,3,17,9,20250830
41,1,722655,722655,43359.3,43359.3,VENDEDOR,2,1,7,25,29,20250301
42,2,300000.42,150000.21,9000.015,18000.03,VENDEDOR,2,2,5,10,8,20250305
43,2,300000.42,150000.21,9000.015,18000.03,VENDEDOR,2,2,5,10,30,20250305
44,3,648957.32,648957.32,38937.44,38937.44,VENDEDOR,1,1,7,4,15,20250310
45,4,956740.95,956740.95,57404.46,57404.46,VENDEDOR,1,1,5,21,21,20250315
46,5,530068.04,530068.04,31804.08,31804.08,VENDEDOR,2,1,2,30,18,20250320
47,6,1077974.1,1077974.1,64678.45,64678.45,VENDEDOR,1,1,8,12,7,20250325
48,7,529641.82,529641.82,31778.51,31778.51,VENDEDOR,1,1,1,8,9,20250401
49,8,1323758.44,661879.22,39712.755,79425.51,VENDEDOR,2,2,9,3,1,20250405
50,8,1323758.44,661879.22,39712.755,79425.51,VENDEDOR,2,2,9,3,19,20250405
51,9,1385339.68,1385339.68,83120.38,83120.38,VENDEDOR,2,1,1,7,26,20250410
52,10,422204.21,422204.21,25332.25,25332.25,VENDEDOR,1,1,6,27,26,20250415
53,11,942104.83,471052.415,28263.145,56526.29,VENDEDOR,1,2,4,2,22,20250420
54,11,942104.83,471052.415,28263.145,56526.29,VENDEDOR,1,2,4,2,24,20250420
55,12,1176950.06,1176950.06,70617,70617,VENDEDOR,1,1,2,19,1,20250425
56,13,1245896.04,1245896.04,74753.76,74753.76,VENDEDOR,1,1,1,24,14,20250501
57,14,815393.11,815393.11,48923.59,48923.59,VENDEDOR,2,1,1,29,20,20250505
58,15,1429840.26,1429840.26,85790.42,85790.42,VENDEDOR,1,1,4,18,17,20250510
59,16,775961.71,775961.71,46557.7,46557.7,VENDEDOR,1,1,4,20,18,20250515
60,17,395691.29,395691.29,23741.48,23741.48,VENDEDOR,1,1,1,5,15,20250520
61,18,1186514.26,1186514.26,71190.86,71190.86,VENDEDOR,1,1,10,15,8,20250525
62,19,482343.45,241171.725,14470.305,28940.61,VENDEDOR,1,2,3,6,4,20250601
63,19,482343.45,241171.725,14470.305,28940.61,VENDEDOR,1,2,3,6,12,20250601
64,20,246776.59,123388.295,7403.3,14806.6,VENDEDOR,2,2,4,28,6,20250605
65,20,246776.59,123388.295,7403.3,14806.6,VENDEDOR,2,2,4,28,7,20250605
66,21,508226.36,254113.18,15246.79,30493.58,VENDEDOR,1,2,3,26,9,20250610
67,21,508226.36,254113.18,15246.79,30493.58,VENDEDOR,1,2,3,26,25,20250610
68,22,1314718.73,657359.365,39441.56,78883.12,VENDEDOR,2,2,8,22,4,20250615
69,22,1314718.73,657359.365,39441.56,78883.12,VENDEDOR,2,2,8,22,29,20250615
70,23,687892.85,687892.85,41273.57,41273.57,VENDEDOR,1,1,2,11,13,20250620
71,24,567420.17,567420.17,34045.21,34045.21,VENDEDOR,1,1,10,13,24,20250625
72,25,1365126.21,1365126.21,81907.57,81907.57,VENDEDOR,2,1,4,9,3,20250715
73,26,1365126.21,1365126.21,81907.57,81907.57,VENDEDOR,2,1,8,9,22,20250715
74,27,462792.59,462792.59,27767.56,27767.56,VENDEDOR,1,1,5,23,1,20250830
75,28,1185790.1,1185790.1,71147.41,71147.41,VENDEDOR,2,1,6,14,11,20250830
76,29,293062.56,293062.56,17583.75,17583.75,VENDEDOR,1,1,3,17,29,20250830
